"사용월","호선명","지하철역","04시-05시 승차인원","04시-05시 하차인원","05시-06시 승차인원","05시-06시 하차인원","06시-07시 승차인원","06시-07시 하차인원","07시-08시 승차인원","07시-08시 하차인원","08시-09시 승차인원","08시-09시 하차인원","09시-10시 승차인원","09시-10시 하차인원","10시-11시 승차인원","10시-11시 하차인원","11시-12시 승차인원","11시-12시 하차인원","12시-13시 승차인원","12시-13시 하차인원","13시-14시 승차인원","13시-14시 하차인원","14시-15시 승차인원","14시-15시 하차인원","15시-16시 승차인원","15시-16시 하차인원","16시-17시 승차인원","16시-17시 하차인원","17시-18시 승차인원","17시-18시 하차인원","18시-19시 승차인원","18시-19시 하차인원","19시-20시 승차인원","19시-20시 하차인원","20시-21시 승차인원","20시-21시 하차인원","21시-22시 승차인원","21시-22시 하차인원","22시-23시 승차인원","22시-23시 하차인원","23시-24시 승차인원","23시-24시 하차인원","00시-01시 승차인원","00시-01시 하차인원","01시-02시 승차인원","01시-02시 하차인원","02시-03시 승차인원","02시-03시 하차인원","03시-04시 승차인원","03시-04시 하차인원","작업일자"
"202602","3호선","을지로3가","19","0","549","1000","1463","8265","3453","30979","6632","64181","9879","26281","11666","13450","12476","14120","11888","13700","13558","15300","15839","13572","18214","13863","22039","15838","41465","19606","57916","22122","25926","13919","20394","7672","20973","5834","17295","4539","9733","2997","1370","686","0","10","0","0","0","0","20260303"
"202602","3호선","일원","7","0","2053","1545","7022","9999","19456","27714","21187","21547","17274","18273","17000","15914","17996","11886","18324","14477","15914","15417","17070","15065","20323","13943","23803","13027","33939","15278","17322","20499","9699","15950","6325","10859","4643","10088","3422","11072","1164","4310","138","1478","0","33","0","0","0","0","20260303"
"202602","3호선","잠원","2","1","1409","663","5409","4961","15093","6840","21276","10167","14563","8667","11016","6150","10711","6517","10723","7643","10722","9314","9611","9327","11052","10488","12411","11049","13451","14757","11719","18698","7150","14141","5082","9490","4203","9129","2890","10463","1072","4581","129","1337","1","5","0","0","0","0","20260303"
"202602","3호선","종로3가","41","5","604","830","921","5401","1690","13337","2761","33661","5022","34880","7699","30461","10245","26116","12197","24447","14075","24253","17158","22290","21174","20083","25626","19247","37128","18052","43136","16570","23980","10226","17574","6063","18484","4897","14998","3759","6196","2462","745","769","0","17","0","0","0","0","20260303"
"202602","3호선","지축","16","0","2656","674","8953","3480","24116","4495","25475","9849","13764","7123","10648","6350","9785","6090","10787","6903","9678","8707","9389","8594","9507","10219","9984","12710","11197","16716","9795","24412","6511","20488","5341","13618","4808","11743","3260","9679","1591","5594","289","957","0","0","0","0","0","0","20260303"
"202602","3호선","충무로","0","0","0","0","0","0","0","0","1","0","3","0","3","0","10","0","10","0","5","0","7","0","8","0","9","0","13","0","15","0","21","0","5","0","6","0","12","0","4","0","2","0","0","0","0","0","0","0","20260303"
"202602","3호선","학여울","2","0","566","102","1754","1337","3275","2925","4066","6980","3004","7021","2538","5749","3301","5027","4441","5583","4968","6266","5462","5588","6028","4372","7404","3696","8846","3722","7795","4025","2567","2946","1713","2309","1357","1933","1047","1686","249","929","42","287","0","1","0","0","0","0","20260303"
"202602","3호선","홍제","71","16","7753","944","19731","4995","50278","8732","59578","19576","38556","16718","30377","15773","27888","16144","29756","18398","27682","20454","25351","23329","24970","28197","25683","32309","24584","39795","24060","55199","13664","44254","10979","28313","8555","24854","5814","20365","2260","12729","335","2984","0","0","0","0","0","0","20260303"
"202602","4호선","길음","24","3","7919","1209","27141","5696","67752","9518","72728","22670","44086","18509","30622","16376","28628","17508","29586","20857","28974","24770","25814","24509","26180","28927","27909","35766","28015","45254","26667","67967","16282","53598","12142","35255","9855","31707","8843","29958","2938","16589","478","4548","0","0","0","0","0","0","20260303"
"202602","4호선","남태령","9","0","544","73","844","1396","1819","3527","2968","4091","2314","1613","2111","1196","2271","1057","2171","1203","2033","1212","1978","1250","1953","1300","2775","1532","4601","1535","3355","1330","1303","1143","852","1250","689","868","407","722","143","382","20","152","0","0","0","0","0","0","20260303"
